variable,expression,result
\varpi,\sin (  ( e ^ { \varpi } )  ),(  e ^ { \varpi } ) \cos (  ( e ^ { \varpi } )  )
\varpi,\cos (  ( e ^ { \varpi } )  ),(  e ^ { \varpi } ) - \sin (  ( e ^ { \varpi } )  )
\varpi,\tan (  ( e ^ { \varpi } )  ),(  e ^ { \varpi } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { \varpi } )  ) }
\varpi,\cot (  ( e ^ { \varpi } )  ),(  e ^ { \varpi } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { \varpi } )  ) }
\varpi,\arcsin (  ( e ^ { \varpi } )  ),(  e ^ { \varpi } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { \varpi } )  ^ { 2 } } }
\varpi,\arccos (  ( e ^ { \varpi } )  ),(  e ^ { \varpi } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { \varpi } )  ^ { 2 } } }
\varpi,\arctan (  ( e ^ { \varpi } )  ),(  e ^ { \varpi } ) \frac { 1 } { 1 +  ( e ^ { \varpi } )  ^ { 2 } }
\varpi, ( e ^ { \varpi } )  + \lambda,(  e ^ { \varpi } ) 1
\varpi,o -  ( e ^ { \varpi } ) ,(  e ^ { \varpi } ) - 1
\varpi, ( e ^ { \varpi } )  \alpha,(  e ^ { \varpi } ) \alpha
\varpi,\frac { 1 } {  ( e ^ { \varpi } )  + y },(  e ^ { \varpi } ) - \frac { 1 } { (  ( e ^ { \varpi } )  + y ) ^ { 2 } }
\varpi,\frac { 1 } { v -  ( e ^ { \varpi } )  },(  e ^ { \varpi } ) \frac { 1 } { ( v -  ( e ^ { \varpi } )  ) ^ { 2 } }
\varrho, ( e ^ { \varrho } )  ^ { u },(  e ^ { \varrho } ) u  ( e ^ { \varrho } )  ^ { u - 1 }
\varrho, ( e ^ { \varrho } )  ^ { 0 },(  e ^ { \varrho } ) 0
\varrho,f ^ {  ( e ^ { \varrho } )  },(  e ^ { \varrho } ) f ^ {  ( e ^ { \varrho } )  } \ln ( f )
\varrho,e ^ {  ( e ^ { \varrho } )  },(  e ^ { \varrho } ) e ^ {  ( e ^ { \varrho } )  }
\varrho,\exp (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) \exp (  ( e ^ { \varrho } )  )
\varrho,\ln (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) \frac { 1 } {  ( e ^ { \varrho } )  }
\varrho,\log _ { v } (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) \frac { 1 } {  ( e ^ { \varrho } )  \ln ( { v } ) }
\varrho,\sin (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) \cos (  ( e ^ { \varrho } )  )
\varrho,\cos (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) - \sin (  ( e ^ { \varrho } )  )
\varrho,\tan (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { \varrho } )  ) }
\varrho,\cot (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { \varrho } )  ) }
\varrho,\arcsin (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { \varrho } )  ^ { 2 } } }
\varrho,\arccos (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { \varrho } )  ^ { 2 } } }
\varrho,\arctan (  ( e ^ { \varrho } )  ),(  e ^ { \varrho } ) \frac { 1 } { 1 +  ( e ^ { \varrho } )  ^ { 2 } }
\varrho, ( e ^ { \varrho } )  + a,(  e ^ { \varrho } ) 1
\varrho,i -  ( e ^ { \varrho } ) ,(  e ^ { \varrho } ) - 1
\varrho, ( e ^ { \varrho } )  s,(  e ^ { \varrho } ) s
\varrho,\frac { 1 } {  ( e ^ { \varrho } )  + \Psi },(  e ^ { \varrho } ) - \frac { 1 } { (  ( e ^ { \varrho } )  + \Psi ) ^ { 2 } }
\varrho,\frac { 1 } { A -  ( e ^ { \varrho } )  },(  e ^ { \varrho } ) \frac { 1 } { ( A -  ( e ^ { \varrho } )  ) ^ { 2 } }
\vartheta, ( e ^ { \vartheta } )  ^ { \Pi },(  e ^ { \vartheta } ) \Pi  ( e ^ { \vartheta } )  ^ { \Pi - 1 }
\vartheta, ( e ^ { \vartheta } )  ^ { 0 },(  e ^ { \vartheta } ) 0
\vartheta,Q ^ {  ( e ^ { \vartheta } )  },(  e ^ { \vartheta } ) Q ^ {  ( e ^ { \vartheta } )  } \ln ( Q )
\vartheta,e ^ {  ( e ^ { \vartheta } )  },(  e ^ { \vartheta } ) e ^ {  ( e ^ { \vartheta } )  }
\vartheta,\exp (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) \exp (  ( e ^ { \vartheta } )  )
\vartheta,\ln (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) \frac { 1 } {  ( e ^ { \vartheta } )  }
\vartheta,\log _ { V } (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) \frac { 1 } {  ( e ^ { \vartheta } )  \ln ( { V } ) }
\vartheta,\sin (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) \cos (  ( e ^ { \vartheta } )  )
\vartheta,\cos (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) - \sin (  ( e ^ { \vartheta } )  )
\vartheta,\tan (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { \vartheta } )  ) }
\vartheta,\cot (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { \vartheta } )  ) }
\vartheta,\arcsin (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { \vartheta } )  ^ { 2 } } }
\vartheta,\arccos (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { \vartheta } )  ^ { 2 } } }
\vartheta,\arctan (  ( e ^ { \vartheta } )  ),(  e ^ { \vartheta } ) \frac { 1 } { 1 +  ( e ^ { \vartheta } )  ^ { 2 } }
\vartheta, ( e ^ { \vartheta } )  + \Gamma,(  e ^ { \vartheta } ) 1
\vartheta,a -  ( e ^ { \vartheta } ) ,(  e ^ { \vartheta } ) - 1
\vartheta, ( e ^ { \vartheta } )  Z,(  e ^ { \vartheta } ) Z
\vartheta,\frac { 1 } {  ( e ^ { \vartheta } )  +  },(  e ^ { \vartheta } ) - \frac { 1 } { (  ( e ^ { \vartheta } )  +  ) ^ { 2 } }
\vartheta,\frac { 1 } { \xi -  ( e ^ { \vartheta } )  },(  e ^ { \vartheta } ) \frac { 1 } { ( \xi -  ( e ^ { \vartheta } )  ) ^ { 2 } }
\xi, ( e ^ { \xi } )  ^ { l },(  e ^ { \xi } ) l  ( e ^ { \xi } )  ^ { l - 1 }
\xi, ( e ^ { \xi } )  ^ { 0 },(  e ^ { \xi } ) 0
\xi,l ^ {  ( e ^ { \xi } )  },(  e ^ { \xi } ) l ^ {  ( e ^ { \xi } )  } \ln ( l )
\xi,e ^ {  ( e ^ { \xi } )  },(  e ^ { \xi } ) e ^ {  ( e ^ { \xi } )  }
\xi,\exp (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) \exp (  ( e ^ { \xi } )  )
\xi,\ln (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) \frac { 1 } {  ( e ^ { \xi } )  }
\xi,\log _ { R } (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) \frac { 1 } {  ( e ^ { \xi } )  \ln ( { R } ) }
\xi,\sin (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) \cos (  ( e ^ { \xi } )  )
\xi,\cos (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) - \sin (  ( e ^ { \xi } )  )
\xi,\tan (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { \xi } )  ) }
\xi,\cot (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { \xi } )  ) }
\xi,\arcsin (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { \xi } )  ^ { 2 } } }
\xi,\arccos (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { \xi } )  ^ { 2 } } }
\xi,\arctan (  ( e ^ { \xi } )  ),(  e ^ { \xi } ) \frac { 1 } { 1 +  ( e ^ { \xi } )  ^ { 2 } }
\xi, ( e ^ { \xi } )  + \Phi,(  e ^ { \xi } ) 1
\xi,C -  ( e ^ { \xi } ) ,(  e ^ { \xi } ) - 1
\xi, ( e ^ { \xi } )  \eta,(  e ^ { \xi } ) \eta
\xi,\frac { 1 } {  ( e ^ { \xi } )  + \omega },(  e ^ { \xi } ) - \frac { 1 } { (  ( e ^ { \xi } )  + \omega ) ^ { 2 } }
\xi,\frac { 1 } { M -  ( e ^ { \xi } )  },(  e ^ { \xi } ) \frac { 1 } { ( M -  ( e ^ { \xi } )  ) ^ { 2 } }
\zeta, ( e ^ { \zeta } )  ^ { D },(  e ^ { \zeta } ) D  ( e ^ { \zeta } )  ^ { D - 1 }
\zeta, ( e ^ { \zeta } )  ^ { 0 },(  e ^ { \zeta } ) 0
\zeta,\Omega ^ {  ( e ^ { \zeta } )  },(  e ^ { \zeta } ) \Omega ^ {  ( e ^ { \zeta } )  } \ln ( \Omega )
\zeta,e ^ {  ( e ^ { \zeta } )  },(  e ^ { \zeta } ) e ^ {  ( e ^ { \zeta } )  }
\zeta,\exp (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) \exp (  ( e ^ { \zeta } )  )
\zeta,\ln (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) \frac { 1 } {  ( e ^ { \zeta } )  }
\zeta,\log _ { \kappa } (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) \frac { 1 } {  ( e ^ { \zeta } )  \ln ( { \kappa } ) }
\zeta,\sin (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) \cos (  ( e ^ { \zeta } )  )
\zeta,\cos (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) - \sin (  ( e ^ { \zeta } )  )
\zeta,\tan (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { \zeta } )  ) }
\zeta,\cot (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { \zeta } )  ) }
\zeta,\arcsin (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { \zeta } )  ^ { 2 } } }
\zeta,\arccos (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { \zeta } )  ^ { 2 } } }
\zeta,\arctan (  ( e ^ { \zeta } )  ),(  e ^ { \zeta } ) \frac { 1 } { 1 +  ( e ^ { \zeta } )  ^ { 2 } }
\zeta, ( e ^ { \zeta } )  + D,(  e ^ { \zeta } ) 1
\zeta,\gamma -  ( e ^ { \zeta } ) ,(  e ^ { \zeta } ) - 1
\zeta, ( e ^ { \zeta } )  \xi,(  e ^ { \zeta } ) \xi
\zeta,\frac { 1 } {  ( e ^ { \zeta } )  + \epsilon },(  e ^ { \zeta } ) - \frac { 1 } { (  ( e ^ { \zeta } )  + \epsilon ) ^ { 2 } }
\zeta,\frac { 1 } { \Xi -  ( e ^ { \zeta } )  },(  e ^ { \zeta } ) \frac { 1 } { ( \Xi -  ( e ^ { \zeta } )  ) ^ { 2 } }
a, ( e ^ { a } )  ^ { 1 },(  e ^ { a } ) 1  ( e ^ { a } )  ^ { 1 - 1 }
a, ( e ^ { a } )  ^ { 0 },(  e ^ { a } ) 0
a,T ^ {  ( e ^ { a } )  },(  e ^ { a } ) T ^ {  ( e ^ { a } )  } \ln ( T )
a,e ^ {  ( e ^ { a } )  },(  e ^ { a } ) e ^ {  ( e ^ { a } )  }
a,\exp (  ( e ^ { a } )  ),(  e ^ { a } ) \exp (  ( e ^ { a } )  )
a,\ln (  ( e ^ { a } )  ),(  e ^ { a } ) \frac { 1 } {  ( e ^ { a } )  }
a,\log _ { O } (  ( e ^ { a } )  ),(  e ^ { a } ) \frac { 1 } {  ( e ^ { a } )  \ln ( { O } ) }
a,\sin (  ( e ^ { a } )  ),(  e ^ { a } ) \cos (  ( e ^ { a } )  )
a,\cos (  ( e ^ { a } )  ),(  e ^ { a } ) - \sin (  ( e ^ { a } )  )
a,\tan (  ( e ^ { a } )  ),(  e ^ { a } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { a } )  ) }
a,\cot (  ( e ^ { a } )  ),(  e ^ { a } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { a } )  ) }
a,\arcsin (  ( e ^ { a } )  ),(  e ^ { a } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { a } )  ^ { 2 } } }
a,\arccos (  ( e ^ { a } )  ),(  e ^ { a } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { a } )  ^ { 2 } } }
a,\arctan (  ( e ^ { a } )  ),(  e ^ { a } ) \frac { 1 } { 1 +  ( e ^ { a } )  ^ { 2 } }
a, ( e ^ { a } )  + A,(  e ^ { a } ) 1
a,\nu -  ( e ^ { a } ) ,(  e ^ { a } ) - 1
a, ( e ^ { a } )  9,(  e ^ { a } ) 9
a,\frac { 1 } {  ( e ^ { a } )  + \kappa },(  e ^ { a } ) - \frac { 1 } { (  ( e ^ { a } )  + \kappa ) ^ { 2 } }
a,\frac { 1 } { W -  ( e ^ { a } )  },(  e ^ { a } ) \frac { 1 } { ( W -  ( e ^ { a } )  ) ^ { 2 } }
b, ( e ^ { b } )  ^ { \eta },(  e ^ { b } ) \eta  ( e ^ { b } )  ^ { \eta - 1 }
b, ( e ^ { b } )  ^ { 0 },(  e ^ { b } ) 0
b,\alpha ^ {  ( e ^ { b } )  },(  e ^ { b } ) \alpha ^ {  ( e ^ { b } )  } \ln ( \alpha )
b,e ^ {  ( e ^ { b } )  },(  e ^ { b } ) e ^ {  ( e ^ { b } )  }
b,\exp (  ( e ^ { b } )  ),(  e ^ { b } ) \exp (  ( e ^ { b } )  )
b,\ln (  ( e ^ { b } )  ),(  e ^ { b } ) \frac { 1 } {  ( e ^ { b } )  }
b,\log _ { A } (  ( e ^ { b } )  ),(  e ^ { b } ) \frac { 1 } {  ( e ^ { b } )  \ln ( { A } ) }
b,\sin (  ( e ^ { b } )  ),(  e ^ { b } ) \cos (  ( e ^ { b } )  )
b,\cos (  ( e ^ { b } )  ),(  e ^ { b } ) - \sin (  ( e ^ { b } )  )
b,\tan (  ( e ^ { b } )  ),(  e ^ { b } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { b } )  ) }
b,\cot (  ( e ^ { b } )  ),(  e ^ { b } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { b } )  ) }
b,\arcsin (  ( e ^ { b } )  ),(  e ^ { b } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { b } )  ^ { 2 } } }
b,\arccos (  ( e ^ { b } )  ),(  e ^ { b } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { b } )  ^ { 2 } } }
b,\arctan (  ( e ^ { b } )  ),(  e ^ { b } ) \frac { 1 } { 1 +  ( e ^ { b } )  ^ { 2 } }
b, ( e ^ { b } )  + T,(  e ^ { b } ) 1
b,L -  ( e ^ { b } ) ,(  e ^ { b } ) - 1
b, ( e ^ { b } )  \alpha,(  e ^ { b } ) \alpha
b,\frac { 1 } {  ( e ^ { b } )  + \sigma },(  e ^ { b } ) - \frac { 1 } { (  ( e ^ { b } )  + \sigma ) ^ { 2 } }
b,\frac { 1 } { \varpi -  ( e ^ { b } )  },(  e ^ { b } ) \frac { 1 } { ( \varpi -  ( e ^ { b } )  ) ^ { 2 } }
c, ( e ^ { c } )  ^ { 1 },(  e ^ { c } ) 1  ( e ^ { c } )  ^ { 1 - 1 }
c, ( e ^ { c } )  ^ { 0 },(  e ^ { c } ) 0
c,\varphi ^ {  ( e ^ { c } )  },(  e ^ { c } ) \varphi ^ {  ( e ^ { c } )  } \ln ( \varphi )
c,e ^ {  ( e ^ { c } )  },(  e ^ { c } ) e ^ {  ( e ^ { c } )  }
c,\exp (  ( e ^ { c } )  ),(  e ^ { c } ) \exp (  ( e ^ { c } )  )
c,\ln (  ( e ^ { c } )  ),(  e ^ { c } ) \frac { 1 } {  ( e ^ { c } )  }
c,\log _ { m } (  ( e ^ { c } )  ),(  e ^ { c } ) \frac { 1 } {  ( e ^ { c } )  \ln ( { m } ) }
c,\sin (  ( e ^ { c } )  ),(  e ^ { c } ) \cos (  ( e ^ { c } )  )
c,\cos (  ( e ^ { c } )  ),(  e ^ { c } ) - \sin (  ( e ^ { c } )  )
c,\tan (  ( e ^ { c } )  ),(  e ^ { c } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { c } )  ) }
c,\cot (  ( e ^ { c } )  ),(  e ^ { c } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { c } )  ) }
c,\arcsin (  ( e ^ { c } )  ),(  e ^ { c } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { c } )  ^ { 2 } } }
c,\arccos (  ( e ^ { c } )  ),(  e ^ { c } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { c } )  ^ { 2 } } }
c,\arctan (  ( e ^ { c } )  ),(  e ^ { c } ) \frac { 1 } { 1 +  ( e ^ { c } )  ^ { 2 } }
c, ( e ^ { c } )  + \rho,(  e ^ { c } ) 1
c,W -  ( e ^ { c } ) ,(  e ^ { c } ) - 1
c, ( e ^ { c } )  4,(  e ^ { c } ) 4
c,\frac { 1 } {  ( e ^ { c } )  + w },(  e ^ { c } ) - \frac { 1 } { (  ( e ^ { c } )  + w ) ^ { 2 } }
c,\frac { 1 } { \varrho -  ( e ^ { c } )  },(  e ^ { c } ) \frac { 1 } { ( \varrho -  ( e ^ { c } )  ) ^ { 2 } }
d, ( e ^ { d } )  ^ { \chi },(  e ^ { d } ) \chi  ( e ^ { d } )  ^ { \chi - 1 }
d, ( e ^ { d } )  ^ { 0 },(  e ^ { d } ) 0
d,\rho ^ {  ( e ^ { d } )  },(  e ^ { d } ) \rho ^ {  ( e ^ { d } )  } \ln ( \rho )
d,e ^ {  ( e ^ { d } )  },(  e ^ { d } ) e ^ {  ( e ^ { d } )  }
d,\exp (  ( e ^ { d } )  ),(  e ^ { d } ) \exp (  ( e ^ { d } )  )
d,\ln (  ( e ^ { d } )  ),(  e ^ { d } ) \frac { 1 } {  ( e ^ { d } )  }
d,\log _ { H } (  ( e ^ { d } )  ),(  e ^ { d } ) \frac { 1 } {  ( e ^ { d } )  \ln ( { H } ) }
d,\sin (  ( e ^ { d } )  ),(  e ^ { d } ) \cos (  ( e ^ { d } )  )
d,\cos (  ( e ^ { d } )  ),(  e ^ { d } ) - \sin (  ( e ^ { d } )  )
d,\tan (  ( e ^ { d } )  ),(  e ^ { d } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { d } )  ) }
d,\cot (  ( e ^ { d } )  ),(  e ^ { d } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { d } )  ) }
d,\arcsin (  ( e ^ { d } )  ),(  e ^ { d } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { d } )  ^ { 2 } } }
d,\arccos (  ( e ^ { d } )  ),(  e ^ { d } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { d } )  ^ { 2 } } }
d,\arctan (  ( e ^ { d } )  ),(  e ^ { d } ) \frac { 1 } { 1 +  ( e ^ { d } )  ^ { 2 } }
d, ( e ^ { d } )  + m,(  e ^ { d } ) 1
d,n -  ( e ^ { d } ) ,(  e ^ { d } ) - 1
d, ( e ^ { d } )  c,(  e ^ { d } ) c
d,\frac { 1 } {  ( e ^ { d } )  + G },(  e ^ { d } ) - \frac { 1 } { (  ( e ^ { d } )  + G ) ^ { 2 } }
d,\frac { 1 } { \epsilon -  ( e ^ { d } )  },(  e ^ { d } ) \frac { 1 } { ( \epsilon -  ( e ^ { d } )  ) ^ { 2 } }
e, ( e ^ { e } )  ^ { \Theta },(  e ^ { e } ) \Theta  ( e ^ { e } )  ^ { \Theta - 1 }
e, ( e ^ { e } )  ^ { 0 },(  e ^ { e } ) 0
e,R ^ {  ( e ^ { e } )  },(  e ^ { e } ) R ^ {  ( e ^ { e } )  } \ln ( R )
e,e ^ {  ( e ^ { e } )  },(  e ^ { e } ) e ^ {  ( e ^ { e } )  }
e,\exp (  ( e ^ { e } )  ),(  e ^ { e } ) \exp (  ( e ^ { e } )  )
e,\ln (  ( e ^ { e } )  ),(  e ^ { e } ) \frac { 1 } {  ( e ^ { e } )  }
e,\log _ { \gamma } (  ( e ^ { e } )  ),(  e ^ { e } ) \frac { 1 } {  ( e ^ { e } )  \ln ( { \gamma } ) }
e,\sin (  ( e ^ { e } )  ),(  e ^ { e } ) \cos (  ( e ^ { e } )  )
e,\cos (  ( e ^ { e } )  ),(  e ^ { e } ) - \sin (  ( e ^ { e } )  )
e,\tan (  ( e ^ { e } )  ),(  e ^ { e } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { e } )  ) }
e,\cot (  ( e ^ { e } )  ),(  e ^ { e } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { e } )  ) }
e,\arcsin (  ( e ^ { e } )  ),(  e ^ { e } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { e } )  ^ { 2 } } }
e,\arccos (  ( e ^ { e } )  ),(  e ^ { e } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { e } )  ^ { 2 } } }
e,\arctan (  ( e ^ { e } )  ),(  e ^ { e } ) \frac { 1 } { 1 +  ( e ^ { e } )  ^ { 2 } }
e, ( e ^ { e } )  + a,(  e ^ { e } ) 1
e,\phi -  ( e ^ { e } ) ,(  e ^ { e } ) - 1
e, ( e ^ { e } )  C,(  e ^ { e } ) C
e,\frac { 1 } {  ( e ^ { e } )  + Z },(  e ^ { e } ) - \frac { 1 } { (  ( e ^ { e } )  + Z ) ^ { 2 } }
e,\frac { 1 } { 3 -  ( e ^ { e } )  },(  e ^ { e } ) \frac { 1 } { ( 3 -  ( e ^ { e } )  ) ^ { 2 } }
f, ( e ^ { f } )  ^ { s },(  e ^ { f } ) s  ( e ^ { f } )  ^ { s - 1 }
f, ( e ^ { f } )  ^ { 0 },(  e ^ { f } ) 0
f,G ^ {  ( e ^ { f } )  },(  e ^ { f } ) G ^ {  ( e ^ { f } )  } \ln ( G )
f,e ^ {  ( e ^ { f } )  },(  e ^ { f } ) e ^ {  ( e ^ { f } )  }
f,\exp (  ( e ^ { f } )  ),(  e ^ { f } ) \exp (  ( e ^ { f } )  )
f,\ln (  ( e ^ { f } )  ),(  e ^ { f } ) \frac { 1 } {  ( e ^ { f } )  }
f,\log _ { \Theta } (  ( e ^ { f } )  ),(  e ^ { f } ) \frac { 1 } {  ( e ^ { f } )  \ln ( { \Theta } ) }
f,\sin (  ( e ^ { f } )  ),(  e ^ { f } ) \cos (  ( e ^ { f } )  )
f,\cos (  ( e ^ { f } )  ),(  e ^ { f } ) - \sin (  ( e ^ { f } )  )
f,\tan (  ( e ^ { f } )  ),(  e ^ { f } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { f } )  ) }
f,\cot (  ( e ^ { f } )  ),(  e ^ { f } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { f } )  ) }
f,\arcsin (  ( e ^ { f } )  ),(  e ^ { f } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { f } )  ^ { 2 } } }
f,\arccos (  ( e ^ { f } )  ),(  e ^ { f } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { f } )  ^ { 2 } } }
f,\arctan (  ( e ^ { f } )  ),(  e ^ { f } ) \frac { 1 } { 1 +  ( e ^ { f } )  ^ { 2 } }
f, ( e ^ { f } )  + t,(  e ^ { f } ) 1
f,\eta -  ( e ^ { f } ) ,(  e ^ { f } ) - 1
f, ( e ^ { f } )  \psi,(  e ^ { f } ) \psi
f,\frac { 1 } {  ( e ^ { f } )  + \chi },(  e ^ { f } ) - \frac { 1 } { (  ( e ^ { f } )  + \chi ) ^ { 2 } }
f,\frac { 1 } { \theta -  ( e ^ { f } )  },(  e ^ { f } ) \frac { 1 } { ( \theta -  ( e ^ { f } )  ) ^ { 2 } }
g, ( e ^ { g } )  ^ { \rho },(  e ^ { g } ) \rho  ( e ^ { g } )  ^ { \rho - 1 }
g, ( e ^ { g } )  ^ { 0 },(  e ^ { g } ) 0
g,4 ^ {  ( e ^ { g } )  },(  e ^ { g } ) 4 ^ {  ( e ^ { g } )  } \ln ( 4 )
g,e ^ {  ( e ^ { g } )  },(  e ^ { g } ) e ^ {  ( e ^ { g } )  }
g,\exp (  ( e ^ { g } )  ),(  e ^ { g } ) \exp (  ( e ^ { g } )  )
g,\ln (  ( e ^ { g } )  ),(  e ^ { g } ) \frac { 1 } {  ( e ^ { g } )  }
g,\log _ { \varpi } (  ( e ^ { g } )  ),(  e ^ { g } ) \frac { 1 } {  ( e ^ { g } )  \ln ( { \varpi } ) }
g,\sin (  ( e ^ { g } )  ),(  e ^ { g } ) \cos (  ( e ^ { g } )  )
g,\cos (  ( e ^ { g } )  ),(  e ^ { g } ) - \sin (  ( e ^ { g } )  )
g,\tan (  ( e ^ { g } )  ),(  e ^ { g } ) \frac { 1 } { \cos ^ { 2 } (  ( e ^ { g } )  ) }
g,\cot (  ( e ^ { g } )  ),(  e ^ { g } ) - \frac { 1 } { \sin ^ { 2 } (  ( e ^ { g } )  ) }
g,\arcsin (  ( e ^ { g } )  ),(  e ^ { g } ) \frac { 1 } { \sqrt { 1 -  ( e ^ { g } )  ^ { 2 } } }
g,\arccos (  ( e ^ { g } )  ),(  e ^ { g } ) - \frac { 1 } { \sqrt { 1 -  ( e ^ { g } )  ^ { 2 } } }
g,\arctan (  ( e ^ { g } )  ),(  e ^ { g } ) \frac { 1 } { 1 +  ( e ^ { g } )  ^ { 2 } }
g, ( e ^ { g } )  + I,(  e ^ { g } ) 1
g,3 -  ( e ^ { g } ) ,(  e ^ { g } ) - 1
g, ( e ^ { g } )  \alpha,(  e ^ { g } ) \alpha
g,\frac { 1 } {  ( e ^ { g } )  + \lambda },(  e ^ { g } ) - \frac { 1 } { (  ( e ^ { g } )  + \lambda ) ^ { 2 } }
g,\frac { 1 } { J -  ( e ^ { g } )  },(  e ^ { g } ) \frac { 1 } { ( J -  ( e ^ { g } )  ) ^ { 2 } }
h, ( e ^ { h } )  ^ { F },(  e ^ { h } ) F  ( e ^ { h } )  ^ { F - 1 }
h, ( e ^ { h } )  ^ { 0 },(  e ^ { h } ) 0
h,2 ^ {  ( e ^ { h } )  },(  e ^ { h } ) 2 ^ {  ( e ^ { h } )  } \ln ( 2 )
h,e ^ {  ( e ^ { h } )  },(  e ^ { h } ) e ^ {  ( e ^ { h } )  }
h,\exp (  ( e ^ { h } )  ),(  e ^ { h } ) \exp (  ( e ^ { h } )  )
h,\ln (  ( e ^ { h } )  ),(  e ^ { h } ) \frac { 1 } {  ( e ^ { h } )  }
h,\log _ { W } (  ( e ^ { h } )  ),(  e ^ { h } ) \frac { 1 } {  ( e ^ { h } )  \ln ( { W } ) }
